			3389-Left	3389-Right
278.	 57.0 	 C1 - 5.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
279.	 56.9 	 C1 - 5.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
280.	 56.9 	 C1 - 2.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
281.	 56.7 	 C0 - 2.5 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
282.	 56.7 	 C1 - 4.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
283.	 56.7 	 C3 - 3.5 mA	 C0 - 3.0 mA 	 (0.79 / 1.00) 
284.	 56.7 	 C0 - 3.5 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
285.	 56.5 	 C0 - 3.5 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
286.	 56.5 	 C0 - 4.5 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
287.	 56.3 	 C1 - 3.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
288.	 56.2 	 C0 - 4.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
289.	 56.2 	 C3 - 2.5 mA	 C3 - 1.5 mA 	 (0.83 / 0.90) 
290.	 56.1 	 C0 - 1.5 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
291.	 56.0 	 C1 - 1.5 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
292.	 56.0 	 C0 - 2.0 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
293.	 55.9 	 C0 - 2.0 mA	 C3 - 1.5 mA 	 (1.00 / 0.90) 
294.	 55.9 	 C0 - 5.5 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
295.	 55.8 	 C0 - 2.5 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
296.	 55.8 	 C0 - 5.0 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
297.	 55.7 	 C1 - 5.5 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
298.	 55.7 	 C0 - 4.5 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
299.	 55.7 	 C0 - 4.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
300.	 55.4 	 C0 - 5.5 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
301.	 55.4 	 C0 - 5.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
302.	 55.4 	 C2 - 4.0 mA	 C0 - 4.0 mA 	 (0.96 / 1.00) 
303.	 55.3 	 C3 - 1.5 mA	 C1 - 4.0 mA 	 (0.90 / 1.00) 
304.	 55.3 	 C1 - 4.5 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
305.	 55.3 	 C1 - 3.5 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
306.	 55.2 	 C0 - 3.0 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
307.	 55.0 	 C3 - 5.0 mA	 C0 - 3.5 mA 	 (0.74 / 1.00) 
308.	 54.9 	 C1 - 4.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
309.	 54.9 	 C0 - 1.5 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
310.	 54.8 	 C0 - 4.5 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
311.	 54.6 	 C3 - 1.5 mA	 C3 - 2.0 mA 	 (0.90 / 0.87) 
312.	 54.6 	 C2 - 2.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
313.	 54.6 	 C0 - 3.5 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
314.	 54.5 	 C1 - 5.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
315.	 54.4 	 C0 - 5.5 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
316.	 54.4 	 C1 - 2.0 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
317.	 54.3 	 C3 - 4.0 mA	 C1 - 1.5 mA 	 (0.77 / 1.00) 
318.	 54.3 	 C0 - 5.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
319.	 54.3 	 C3 - 3.0 mA	 C0 - 1.5 mA 	 (0.81 / 1.00) 
320.	 54.2 	 C0 - 2.0 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
321.	 54.2 	 C0 - 4.0 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
322.	 54.2 	 C0 - 2.5 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
323.	 54.1 	 C1 - 4.0 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
324.	 54.0 	 C2 - 3.0 mA	 C0 - 3.5 mA 	 (0.99 / 1.00) 
325.	 53.8 	 C2 - 1.5 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
326.	 53.8 	 C0 - 4.5 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
327.	 53.7 	 C1 - 5.0 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
328.	 53.7 	 C3 - 2.0 mA	 C3 - 2.0 mA 	 (0.86 / 0.87) 
329.	 53.6 	 C3 - 3.5 mA	 C1 - 2.5 mA 	 (0.79 / 1.00) 
330.	 53.6 	 C1 - 2.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
331.	 53.6 	 C0 - 5.5 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
332.	 53.5 	 C0 - 1.5 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
333.	 53.5 	 C0 - 5.0 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
334.	 53.5 	 C3 - 2.5 mA	 C2 - 1.5 mA 	 (0.83 / 1.00) 
335.	 53.4 	 C0 - 2.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
336.	 53.2 	 C3 - 5.5 mA	 C0 - 3.5 mA 	 (0.73 / 1.00) 
337.	 53.2 	 C3 - 2.0 mA	 C1 - 4.0 mA 	 (0.86 / 1.00) 
338.	 53.2 	 C1 - 3.0 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
339.	 53.2 	 C3 - 3.5 mA	 C0 - 2.5 mA 	 (0.79 / 1.00) 
340.	 53.1 	 C3 - 2.5 mA	 C1 - 3.5 mA 	 (0.83 / 1.00) 
341.	 53.0 	 C2 - 5.0 mA	 C0 - 4.0 mA 	 (0.94 / 1.00) 
342.	 53.0 	 C0 - 3.0 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
343.	 53.0 	 C2 - 4.5 mA	 C0 - 4.0 mA 	 (0.95 / 1.00) 
344.	 52.8 	 C1 - 1.5 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
345.	 52.8 	 C0 - 3.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
346.	 52.8 	 C1 - 5.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
347.	 52.7 	 C3 - 3.0 mA	 C0 - 2.0 mA 	 (0.81 / 1.00) 
348.	 52.7 	 C2 - 2.0 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
349.	 52.7 	 C2 - 2.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
350.	 52.6 	 C0 - 3.0 mA	 C3 - 1.5 mA 	 (1.00 / 0.90) 
351.	 52.6 	 C3 - 3.0 mA	 C3 - 1.5 mA 	 (0.81 / 0.90) 
352.	 52.6 	 C1 - 3.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
353.	 52.5 	 C3 - 4.0 mA	 C1 - 2.0 mA 	 (0.77 / 1.00) 
354.	 52.5 	 C1 - 3.5 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
355.	 52.5 	 C0 - 2.5 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
356.	 52.5 	 C1 - 3.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
357.	 52.5 	 C1 - 5.5 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
358.	 52.4 	 C0 - 3.5 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
359.	 52.4 	 C3 - 4.5 mA	 C1 - 1.5 mA 	 (0.75 / 1.00) 
360.	 52.3 	 C3 - 1.5 mA	 C1 - 4.5 mA 	 (0.90 / 1.00) 
361.	 52.2 	 C2 - 1.5 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
362.	 52.2 	 C1 - 2.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
363.	 52.2 	 C1 - 4.5 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
364.	 52.1 	 C0 - 3.5 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
365.	 52.1 	 C0 - 4.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
366.	 52.0 	 C3 - 4.0 mA	 C0 - 3.0 mA 	 (0.77 / 1.00) 
367.	 51.7 	 C1 - 2.5 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
368.	 51.7 	 C0 - 4.5 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
369.	 51.7 	 C0 - 4.0 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
370.	 51.6 	 C1 - 1.5 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
371.	 51.6 	 C0 - 5.5 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
372.	 51.5 	 C0 - 2.0 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
373.	 51.5 	 C0 - 5.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
374.	 51.3 	 C2 - 2.5 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
375.	 51.3 	 C1 - 4.5 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
376.	 51.3 	 C3 - 2.5 mA	 C3 - 2.0 mA 	 (0.83 / 0.87) 
377.	 51.2 	 C0 - 3.0 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
378.	 51.0 	 C2 - 5.5 mA	 C0 - 4.0 mA 	 (0.93 / 1.00) 
379.	 51.0 	 C0 - 4.5 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
380.	 51.0 	 C0 - 3.5 mA	 C3 - 1.5 mA 	 (1.00 / 0.90) 
381.	 50.9 	 C0 - 5.5 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
382.	 50.9 	 C3 - 3.0 mA	 C1 - 3.0 mA 	 (0.81 / 1.00) 
383.	 50.9 	 C0 - 1.5 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
384.	 50.8 	 C0 - 2.5 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
385.	 50.8 	 C1 - 2.0 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
386.	 50.8 	 C0 - 3.5 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
387.	 50.8 	 C2 - 1.5 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
388.	 50.7 	 C0 - 5.0 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
389.	 50.7 	 C3 - 3.5 mA	 C0 - 1.5 mA 	 (0.79 / 1.00) 
390.	 50.6 	 C0 - 4.0 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
391.	 50.5 	 C3 - 4.5 mA	 C1 - 2.0 mA 	 (0.75 / 1.00) 
392.	 50.5 	 C3 - 4.5 mA	 C0 - 3.0 mA 	 (0.75 / 1.00) 
393.	 50.4 	 C1 - 4.0 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
394.	 50.3 	 C1 - 4.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
395.	 50.2 	 C0 - 4.5 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
396.	 50.2 	 C0 - 5.5 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
397.	 50.2 	 C3 - 2.0 mA	 C1 - 4.5 mA 	 (0.86 / 1.00) 
398.	 50.2 	 C0 - 4.0 mA	 C3 - 1.5 mA 	 (1.00 / 0.90) 
399.	 50.1 	 C0 - 5.0 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
400.	 50.1 	 C3 - 3.5 mA	 C3 - 1.5 mA 	 (0.79 / 0.90) 
401.	 50.1 	 C1 - 3.0 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
402.	 49.9 	 C1 - 2.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
403.	 49.8 	 C3 - 5.0 mA	 C1 - 1.5 mA 	 (0.74 / 1.00) 
404.	 49.8 	 C0 - 2.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
405.	 49.7 	 C1 - 1.5 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
406.	 49.6 	 C1 - 5.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
407.	 49.6 	 C0 - 3.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
408.	 49.6 	 C3 - 1.5 mA	 C1 - 5.0 mA 	 (0.90 / 1.00) 
409.	 49.5 	 C1 - 5.0 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
410.	 49.5 	 C3 - 1.5 mA	 C3 - 2.5 mA 	 (0.90 / 0.85) 
411.	 49.5 	 C1 - 4.5 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
412.	 49.3 	 C0 - 3.5 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
413.	 49.3 	 C0 - 5.5 mA	 C3 - 1.5 mA 	 (1.00 / 0.90) 
414.	 49.3 	 C1 - 2.5 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
415.	 49.2 	 C3 - 3.5 mA	 C0 - 2.0 mA 	 (0.79 / 1.00) 
416.	 49.2 	 C0 - 4.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
417.	 49.2 	 C3 - 2.0 mA	 C3 - 2.5 mA 	 (0.86 / 0.85) 
418.	 49.1 	 C0 - 4.5 mA	 C3 - 1.5 mA 	 (1.00 / 0.90) 
419.	 48.9 	 C0 - 1.5 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
420.	 48.9 	 C0 - 5.5 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
421.	 48.9 	 C1 - 3.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
422.	 48.9 	 C2 - 1.5 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
423.	 48.9 	 C1 - 3.5 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
424.	 48.9 	 C0 - 4.5 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
425.	 48.9 	 C0 - 5.0 mA	 C3 - 1.5 mA 	 (1.00 / 0.90) 
426.	 48.8 	 C0 - 5.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
427.	 48.7 	 C3 - 4.0 mA	 C0 - 2.5 mA 	 (0.77 / 1.00) 
428.	 48.6 	 C3 - 2.5 mA	 C1 - 4.0 mA 	 (0.83 / 1.00) 
429.	 48.6 	 C1 - 4.0 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
430.	 48.5 	 C3 - 3.0 mA	 C2 - 1.5 mA 	 (0.81 / 1.00) 
431.	 48.4 	 C0 - 1.5 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
432.	 48.4 	 C3 - 5.0 mA	 C0 - 3.0 mA 	 (0.74 / 1.00) 
433.	 48.4 	 C1 - 5.5 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
434.	 48.3 	 C0 - 2.5 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
435.	 48.2 	 C3 - 3.0 mA	 C3 - 2.0 mA 	 (0.81 / 0.87) 
436.	 48.2 	 C2 - 1.5 mA	 C3 - 1.5 mA 	 (1.00 / 0.90) 
437.	 47.9 	 C1 - 3.5 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
438.	 47.9 	 C3 - 5.0 mA	 C1 - 2.0 mA 	 (0.74 / 1.00) 
439.	 47.9 	 C1 - 5.0 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
440.	 47.9 	 C3 - 5.5 mA	 C1 - 1.5 mA 	 (0.73 / 1.00) 
441.	 47.7 	 C2 - 1.5 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
442.	 47.6 	 C1 - 2.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
443.	 47.6 	 C2 - 2.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
444.	 47.6 	 C3 - 4.0 mA	 C1 - 2.5 mA 	 (0.77 / 1.00) 
445.	 47.6 	 C2 - 3.5 mA	 C0 - 3.5 mA 	 (0.98 / 1.00) 
446.	 47.5 	 C3 - 2.0 mA	 C1 - 5.0 mA 	 (0.86 / 1.00) 
447.	 47.5 	 C1 - 5.5 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
448.	 47.5 	 C1 - 4.5 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
449.	 47.5 	 C1 - 4.5 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
450.	 47.5 	 C1 - 1.5 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
451.	 47.3 	 C1 - 3.5 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
452.	 47.3 	 C3 - 2.5 mA	 C3 - 2.5 mA 	 (0.83 / 0.85) 
453.	 47.2 	 C1 - 1.5 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
454.	 47.2 	 C3 - 4.5 mA	 C0 - 2.5 mA 	 (0.75 / 1.00) 
455.	 47.2 	 C0 - 3.0 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
456.	 47.1 	 C0 - 1.5 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
457.	 47.1 	 C1 - 2.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
458.	 47.1 	 C0 - 2.0 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
459.	 47.0 	 C2 - 2.5 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
460.	 47.0 	 C0 - 3.5 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
461.	 46.9 	 C0 - 4.0 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
462.	 46.9 	 C3 - 3.0 mA	 C1 - 3.5 mA 	 (0.81 / 1.00) 
463.	 46.9 	 C3 - 4.0 mA	 C3 - 1.5 mA 	 (0.77 / 0.90) 
464.	 46.8 	 C3 - 5.5 mA	 C0 - 3.0 mA 	 (0.73 / 1.00) 
465.	 46.8 	 C0 - 5.5 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
466.	 46.7 	 C1 - 4.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
467.	 46.7 	 C0 - 5.0 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
468.	 46.7 	 C0 - 4.5 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
469.	 46.6 	 C1 - 3.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
470.	 46.6 	 C1 - 5.5 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
471.	 46.5 	 C2 - 2.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
472.	 46.5 	 C2 - 2.0 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
473.	 46.4 	 C1 - 4.5 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
474.	 46.4 	 C3 - 3.5 mA	 C1 - 3.0 mA 	 (0.79 / 1.00) 
475.	 46.3 	 C3 - 4.0 mA	 C0 - 1.5 mA 	 (0.77 / 1.00) 
476.	 46.1 	 C3 - 3.5 mA	 C3 - 2.0 mA 	 (0.79 / 0.87) 
477.	 46.0 	 C1 - 4.5 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
478.	 45.9 	 C3 - 5.5 mA	 C1 - 2.0 mA 	 (0.73 / 1.00) 
479.	 45.9 	 C1 - 5.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
480.	 45.9 	 C1 - 1.5 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
481.	 45.9 	 C3 - 4.5 mA	 C3 - 1.5 mA 	 (0.75 / 0.90) 
482.	 45.8 	 C3 - 2.5 mA	 C1 - 4.5 mA 	 (0.83 / 1.00) 
483.	 45.8 	 C1 - 1.5 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
484.	 45.8 	 C1 - 2.5 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
485.	 45.8 	 C1 - 4.0 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
486.	 45.7 	 C3 - 4.5 mA	 C1 - 2.5 mA 	 (0.75 / 1.00) 
487.	 45.5 	 C1 - 2.0 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
488.	 45.5 	 C3 - 1.5 mA	 C2 - 2.0 mA 	 (0.90 / 1.00) 
489.	 45.5 	 C1 - 3.5 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
490.	 45.4 	 C3 - 1.5 mA	 C1 - 5.5 mA 	 (0.90 / 1.00) 
491.	 45.4 	 C2 - 1.5 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
492.	 45.3 	 C3 - 5.0 mA	 C0 - 2.5 mA 	 (0.74 / 1.00) 
493.	 45.2 	 C1 - 4.0 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
494.	 45.2 	 C3 - 3.5 mA	 C2 - 1.5 mA 	 (0.79 / 1.00) 
495.	 45.2 	 C1 - 3.0 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
496.	 45.0 	 C3 - 2.0 mA	 C2 - 2.0 mA 	 (0.86 / 1.00) 
497.	 45.0 	 C0 - 1.5 mA	 C3 - 1.5 mA 	 (1.00 / 0.90) 
498.	 45.0 	 C3 - 4.0 mA	 C0 - 2.0 mA 	 (0.77 / 1.00) 
499.	 44.9 	 C3 - 4.5 mA	 C0 - 1.5 mA 	 (0.75 / 1.00) 
500.	 44.9 	 C3 - 2.0 mA	 C3 - 3.0 mA 	 (0.86 / 0.83) 
501.	 44.8 	 C1 - 4.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
502.	 44.7 	 C3 - 1.5 mA	 C3 - 3.0 mA 	 (0.90 / 0.83) 
503.	 44.7 	 C1 - 5.5 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
504.	 44.6 	 C1 - 2.0 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
505.	 44.6 	 C3 - 3.0 mA	 C3 - 2.5 mA 	 (0.81 / 0.85) 
506.	 44.5 	 C1 - 4.5 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
507.	 44.5 	 C2 - 3.0 mA	 C1 - 1.5 mA 	 (0.99 / 1.00) 
508.	 44.4 	 C1 - 5.0 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
509.	 44.3 	 C2 - 3.0 mA	 C1 - 2.0 mA 	 (0.99 / 1.00) 
510.	 44.3 	 C3 - 5.0 mA	 C3 - 1.5 mA 	 (0.74 / 0.90) 
511.	 44.3 	 C1 - 2.5 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
512.	 44.2 	 C1 - 1.5 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
513.	 44.2 	 C0 - 1.5 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
514.	 44.1 	 C1 - 3.0 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
515.	 44.0 	 C2 - 2.0 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
516.	 44.0 	 C1 - 3.5 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
517.	 43.9 	 C1 - 4.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
518.	 43.9 	 C1 - 5.0 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
519.	 43.8 	 C0 - 2.5 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
520.	 43.8 	 C3 - 5.5 mA	 C0 - 2.5 mA 	 (0.73 / 1.00) 
521.	 43.7 	 C3 - 4.5 mA	 C0 - 2.0 mA 	 (0.75 / 1.00) 
522.	 43.6 	 C1 - 2.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
523.	 43.6 	 C2 - 4.0 mA	 C0 - 3.5 mA 	 (0.96 / 1.00) 
524.	 43.4 	 C1 - 3.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
525.	 43.4 	 C3 - 2.5 mA	 C3 - 3.0 mA 	 (0.83 / 0.83) 
526.	 43.4 	 C3 - 2.0 mA	 C1 - 5.5 mA 	 (0.86 / 1.00) 
527.	 43.4 	 C3 - 2.5 mA	 C1 - 5.0 mA 	 (0.83 / 1.00) 
528.	 43.4 	 C2 - 1.5 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
529.	 43.4 	 C3 - 4.0 mA	 C3 - 2.0 mA 	 (0.77 / 0.87) 
530.	 43.3 	 C3 - 5.0 mA	 C1 - 2.5 mA 	 (0.74 / 1.00) 
531.	 43.2 	 C3 - 5.5 mA	 C3 - 1.5 mA 	 (0.73 / 0.90) 
532.	 43.1 	 C1 - 5.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
533.	 43.1 	 C1 - 5.5 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
534.	 43.0 	 C3 - 5.0 mA	 C0 - 1.5 mA 	 (0.74 / 1.00) 
535.	 43.0 	 C1 - 3.5 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
536.	 42.9 	 C1 - 5.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
537.	 42.9 	 C3 - 3.0 mA	 C1 - 4.0 mA 	 (0.81 / 1.00) 
538.	 42.8 	 C3 - 3.5 mA	 C3 - 2.5 mA 	 (0.79 / 0.85) 
539.	 42.7 	 C1 - 4.5 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
540.	 42.7 	 C3 - 3.5 mA	 C1 - 3.5 mA 	 (0.79 / 1.00) 
541.	 42.6 	 C1 - 3.5 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
542.	 42.6 	 C1 - 2.5 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
543.	 42.6 	 C1 - 2.5 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
544.	 42.5 	 C3 - 4.5 mA	 C3 - 2.0 mA 	 (0.75 / 0.87) 
545.	 42.4 	 C0 - 5.5 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
546.	 42.2 	 C1 - 3.5 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
547.	 42.2 	 C1 - 4.5 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
548.	 42.2 	 C0 - 4.0 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
549.	 42.1 	 C1 - 2.0 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
550.	 42.1 	 C3 - 2.5 mA	 C2 - 2.0 mA 	 (0.83 / 1.00) 
551.	 42.1 	 C0 - 5.0 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
552.	 42.1 	 C0 - 3.0 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
553.	 42.1 	 C1 - 1.5 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
554.	 42.1 	 C0 - 3.5 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
555.	 42.0 	 C2 - 5.0 mA	 C0 - 3.5 mA 	 (0.94 / 1.00) 
556.	 42.0 	 C1 - 3.0 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
