			LL DEFAULT	LR DEFAULT
277.	 80.9 	 C0 - 3.5 mA	 C1 - 3.5 mA 	 (0.95 / 1.00) 
278.	 80.9 	 C3 - 1.5 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
279.	 80.9 	 C2 - 5.0 mA	 C3 - 1.5 mA 	 (0.99 / 1.00) 
280.	 80.9 	 C3 - 5.0 mA	 C0 - 3.0 mA 	 (0.95 / 1.00) 
281.	 80.9 	 C0 - 4.0 mA	 C1 - 1.5 mA 	 (0.93 / 1.00) 
282.	 80.9 	 C1 - 3.5 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
283.	 80.9 	 C1 - 4.5 mA	 C1 - 3.5 mA 	 (0.99 / 1.00) 
284.	 80.9 	 C3 - 2.0 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
285.	 80.9 	 C2 - 4.5 mA	 C2 - 4.5 mA 	 (0.99 / 1.00) 
286.	 80.8 	 C2 - 4.5 mA	 C2 - 1.5 mA 	 (0.99 / 1.00) 
287.	 80.8 	 C1 - 2.5 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
288.	 80.8 	 C3 - 3.5 mA	 C1 - 3.0 mA 	 (0.98 / 1.00) 
289.	 80.8 	 C3 - 5.0 mA	 C0 - 2.5 mA 	 (0.95 / 1.00) 
290.	 80.8 	 C1 - 5.5 mA	 C0 - 5.0 mA 	 (0.97 / 1.00) 
291.	 80.7 	 C1 - 4.5 mA	 C0 - 4.0 mA 	 (0.99 / 1.00) 
292.	 80.7 	 C3 - 5.0 mA	 C1 - 1.5 mA 	 (0.95 / 1.00) 
293.	 80.7 	 C3 - 2.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
294.	 80.7 	 C2 - 4.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
295.	 80.7 	 C3 - 2.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
296.	 80.6 	 C1 - 5.0 mA	 C0 - 4.5 mA 	 (0.98 / 1.00) 
297.	 80.6 	 C1 - 3.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
298.	 80.6 	 C3 - 2.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
299.	 80.6 	 C1 - 4.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
300.	 80.5 	 C2 - 5.0 mA	 C2 - 5.5 mA 	 (0.99 / 1.00) 
301.	 80.5 	 C3 - 2.0 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
302.	 80.5 	 C3 - 4.0 mA	 C1 - 2.0 mA 	 (0.97 / 1.00) 
303.	 80.4 	 C3 - 5.0 mA	 C2 - 4.0 mA 	 (0.95 / 1.00) 
304.	 80.4 	 C2 - 3.5 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
305.	 80.4 	 C1 - 2.5 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
306.	 80.4 	 C1 - 5.0 mA	 C0 - 4.0 mA 	 (0.98 / 1.00) 
307.	 80.3 	 C1 - 3.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
308.	 80.3 	 C3 - 4.0 mA	 C1 - 4.0 mA 	 (0.97 / 1.00) 
309.	 80.3 	 C1 - 2.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
310.	 80.3 	 C3 - 5.5 mA	 C0 - 2.0 mA 	 (0.94 / 1.00) 
311.	 80.3 	 C1 - 2.5 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
312.	 80.3 	 C1 - 5.5 mA	 C0 - 4.5 mA 	 (0.97 / 1.00) 
313.	 80.3 	 C1 - 4.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
314.	 80.3 	 C1 - 5.0 mA	 C1 - 3.5 mA 	 (0.98 / 1.00) 
315.	 80.3 	 C2 - 2.0 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
316.	 80.3 	 C3 - 3.0 mA	 C0 - 5.5 mA 	 (0.99 / 1.00) 
317.	 80.3 	 C2 - 4.0 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
318.	 80.3 	 C2 - 4.5 mA	 C2 - 3.5 mA 	 (0.99 / 1.00) 
319.	 80.2 	 C1 - 4.0 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
320.	 80.2 	 C3 - 3.5 mA	 C1 - 2.5 mA 	 (0.98 / 1.00) 
321.	 80.2 	 C3 - 1.5 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
322.	 80.1 	 C3 - 4.5 mA	 C0 - 3.0 mA 	 (0.96 / 1.00) 
323.	 80.1 	 C1 - 3.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
324.	 80.1 	 C2 - 3.0 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
325.	 80.0 	 C1 - 5.5 mA	 C0 - 4.0 mA 	 (0.97 / 1.00) 
326.	 80.0 	 C0 - 5.5 mA	 C2 - 4.5 mA 	 (0.89 / 1.00) 
327.	 80.0 	 C1 - 2.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
328.	 80.0 	 C3 - 4.0 mA	 C0 - 3.5 mA 	 (0.97 / 1.00) 
329.	 80.0 	 C3 - 4.5 mA	 C0 - 2.5 mA 	 (0.96 / 1.00) 
330.	 80.0 	 C0 - 5.5 mA	 C2 - 2.0 mA 	 (0.89 / 1.00) 
331.	 80.0 	 C3 - 3.0 mA	 C0 - 5.0 mA 	 (0.99 / 1.00) 
332.	 79.9 	 C2 - 4.5 mA	 C0 - 1.5 mA 	 (0.99 / 1.00) 
333.	 79.9 	 C2 - 4.5 mA	 C2 - 2.0 mA 	 (0.99 / 1.00) 
334.	 79.9 	 C3 - 3.0 mA	 C0 - 4.5 mA 	 (0.99 / 1.00) 
335.	 79.9 	 C1 - 3.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
336.	 79.8 	 C1 - 3.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
337.	 79.8 	 C0 - 5.0 mA	 C2 - 4.5 mA 	 (0.90 / 1.00) 
338.	 79.8 	 C3 - 3.0 mA	 C0 - 4.0 mA 	 (0.99 / 1.00) 
339.	 79.8 	 C1 - 4.5 mA	 C1 - 3.0 mA 	 (0.99 / 1.00) 
340.	 79.8 	 C3 - 5.0 mA	 C0 - 2.0 mA 	 (0.95 / 1.00) 
341.	 79.8 	 C3 - 2.5 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
342.	 79.8 	 C0 - 5.0 mA	 C2 - 2.0 mA 	 (0.90 / 1.00) 
343.	 79.8 	 C1 - 5.5 mA	 C1 - 3.5 mA 	 (0.97 / 1.00) 
344.	 79.8 	 C3 - 4.0 mA	 C1 - 5.0 mA 	 (0.97 / 1.00) 
345.	 79.7 	 C1 - 2.5 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
346.	 79.7 	 C2 - 2.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
347.	 79.7 	 C3 - 4.0 mA	 C1 - 5.5 mA 	 (0.97 / 1.00) 
348.	 79.7 	 C3 - 4.5 mA	 C1 - 1.5 mA 	 (0.96 / 1.00) 
349.	 79.7 	 C3 - 5.5 mA	 C2 - 1.5 mA 	 (0.94 / 1.00) 
350.	 79.7 	 C3 - 2.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
351.	 79.7 	 C0 - 4.5 mA	 C2 - 4.0 mA 	 (0.92 / 1.00) 
352.	 79.7 	 C1 - 2.0 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
353.	 79.6 	 C3 - 3.5 mA	 C1 - 2.0 mA 	 (0.98 / 1.00) 
354.	 79.6 	 C0 - 4.0 mA	 C0 - 2.0 mA 	 (0.93 / 1.00) 
355.	 79.6 	 C1 - 3.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
356.	 79.6 	 C2 - 2.5 mA	 C0 - 5.5 mA 	 (1.00 / 1.00) 
357.	 79.5 	 C2 - 3.5 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
358.	 79.5 	 C3 - 5.5 mA	 C2 - 4.5 mA 	 (0.94 / 1.00) 
359.	 79.5 	 C2 - 3.0 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
360.	 79.5 	 C3 - 3.0 mA	 C1 - 3.5 mA 	 (0.99 / 1.00) 
361.	 79.5 	 C3 - 2.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
362.	 79.5 	 C3 - 4.0 mA	 C1 - 4.5 mA 	 (0.97 / 1.00) 
363.	 79.4 	 C3 - 2.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
364.	 79.4 	 C1 - 1.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
365.	 79.4 	 C2 - 2.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
366.	 79.4 	 C3 - 2.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
367.	 79.4 	 C0 - 3.5 mA	 C1 - 3.0 mA 	 (0.95 / 1.00) 
368.	 79.3 	 C1 - 5.0 mA	 C1 - 3.0 mA 	 (0.98 / 1.00) 
369.	 79.3 	 C2 - 1.5 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
370.	 79.3 	 C3 - 3.5 mA	 C0 - 3.5 mA 	 (0.98 / 1.00) 
371.	 79.3 	 C1 - 3.0 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
372.	 79.3 	 C3 - 5.5 mA	 C0 - 1.5 mA 	 (0.94 / 1.00) 
373.	 79.3 	 C3 - 3.5 mA	 C1 - 4.0 mA 	 (0.98 / 1.00) 
374.	 79.3 	 C2 - 4.0 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
375.	 79.2 	 C2 - 2.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
376.	 79.2 	 C2 - 3.5 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
377.	 79.2 	 C0 - 4.5 mA	 C0 - 1.5 mA 	 (0.92 / 1.00) 
378.	 79.2 	 C2 - 4.0 mA	 C2 - 4.0 mA 	 (1.00 / 1.00) 
379.	 79.1 	 C2 - 3.5 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
380.	 79.1 	 C1 - 3.5 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
381.	 79.1 	 C1 - 4.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
382.	 79.1 	 C3 - 5.5 mA	 C2 - 3.5 mA 	 (0.94 / 1.00) 
383.	 79.1 	 C2 - 3.5 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
384.	 79.0 	 C2 - 3.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
385.	 79.0 	 C3 - 4.0 mA	 C0 - 3.0 mA 	 (0.97 / 1.00) 
386.	 79.0 	 C2 - 3.0 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
387.	 79.0 	 C2 - 2.5 mA	 C0 - 5.0 mA 	 (1.00 / 1.00) 
388.	 78.9 	 C1 - 4.5 mA	 C1 - 4.0 mA 	 (0.99 / 1.00) 
389.	 78.9 	 C1 - 2.5 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
390.	 78.9 	 C1 - 5.5 mA	 C1 - 3.0 mA 	 (0.97 / 1.00) 
391.	 78.9 	 C3 - 2.0 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
392.	 78.9 	 C3 - 4.5 mA	 C0 - 2.0 mA 	 (0.96 / 1.00) 
393.	 78.9 	 C1 - 4.5 mA	 C1 - 2.5 mA 	 (0.99 / 1.00) 
394.	 78.9 	 C0 - 5.5 mA	 C2 - 3.5 mA 	 (0.89 / 1.00) 
395.	 78.9 	 C3 - 5.5 mA	 C2 - 2.0 mA 	 (0.94 / 1.00) 
396.	 78.9 	 C3 - 5.0 mA	 C2 - 1.5 mA 	 (0.95 / 1.00) 
397.	 78.9 	 C3 - 4.5 mA	 C2 - 4.0 mA 	 (0.96 / 1.00) 
398.	 78.9 	 C1 - 1.5 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
399.	 78.8 	 C3 - 4.0 mA	 C0 - 2.5 mA 	 (0.97 / 1.00) 
400.	 78.8 	 C3 - 3.0 mA	 C1 - 3.0 mA 	 (0.99 / 1.00) 
401.	 78.8 	 C2 - 4.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
402.	 78.7 	 C3 - 5.0 mA	 C0 - 1.5 mA 	 (0.95 / 1.00) 
403.	 78.7 	 C1 - 4.5 mA	 C1 - 5.5 mA 	 (0.99 / 1.00) 
404.	 78.7 	 C3 - 2.5 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
405.	 78.7 	 C2 - 3.0 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
406.	 78.6 	 C1 - 4.5 mA	 C1 - 5.0 mA 	 (0.99 / 1.00) 
407.	 78.6 	 C1 - 4.5 mA	 C0 - 3.5 mA 	 (0.99 / 1.00) 
408.	 78.6 	 C0 - 4.5 mA	 C2 - 1.5 mA 	 (0.92 / 1.00) 
409.	 78.6 	 C3 - 3.5 mA	 C1 - 5.0 mA 	 (0.98 / 1.00) 
410.	 78.6 	 C3 - 3.5 mA	 C1 - 5.5 mA 	 (0.98 / 1.00) 
411.	 78.6 	 C1 - 1.5 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
412.	 78.6 	 C3 - 5.0 mA	 C2 - 4.5 mA 	 (0.95 / 1.00) 
413.	 78.6 	 C0 - 5.0 mA	 C2 - 3.5 mA 	 (0.90 / 1.00) 
414.	 78.5 	 C1 - 5.0 mA	 C1 - 2.5 mA 	 (0.98 / 1.00) 
415.	 78.5 	 C1 - 5.0 mA	 C1 - 4.0 mA 	 (0.98 / 1.00) 
416.	 78.5 	 C2 - 2.5 mA	 C0 - 4.5 mA 	 (1.00 / 1.00) 
417.	 78.5 	 C2 - 3.5 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
418.	 78.4 	 C2 - 5.5 mA	 C3 - 2.0 mA 	 (0.98 / 1.00) 
419.	 78.4 	 C2 - 4.5 mA	 C2 - 2.5 mA 	 (0.99 / 1.00) 
420.	 78.4 	 C2 - 4.5 mA	 C2 - 3.0 mA 	 (0.99 / 1.00) 
421.	 78.4 	 C3 - 2.0 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
422.	 78.4 	 C1 - 5.0 mA	 C0 - 3.5 mA 	 (0.98 / 1.00) 
423.	 78.4 	 C1 - 5.0 mA	 C1 - 5.5 mA 	 (0.98 / 1.00) 
424.	 78.3 	 C3 - 3.5 mA	 C1 - 4.5 mA 	 (0.98 / 1.00) 
425.	 78.3 	 C1 - 5.0 mA	 C1 - 5.0 mA 	 (0.98 / 1.00) 
426.	 78.3 	 C2 - 1.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
427.	 78.3 	 C3 - 2.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
428.	 78.3 	 C2 - 4.5 mA	 C2 - 5.0 mA 	 (0.99 / 1.00) 
429.	 78.2 	 C3 - 3.5 mA	 C0 - 3.0 mA 	 (0.98 / 1.00) 
430.	 78.2 	 C2 - 2.5 mA	 C0 - 4.0 mA 	 (1.00 / 1.00) 
431.	 78.2 	 C1 - 5.5 mA	 C1 - 2.5 mA 	 (0.97 / 1.00) 
432.	 78.2 	 C1 - 5.5 mA	 C0 - 3.5 mA 	 (0.97 / 1.00) 
433.	 78.2 	 C3 - 4.0 mA	 C1 - 1.5 mA 	 (0.97 / 1.00) 
434.	 78.1 	 C1 - 5.5 mA	 C1 - 4.0 mA 	 (0.97 / 1.00) 
435.	 78.1 	 C1 - 4.5 mA	 C1 - 4.5 mA 	 (0.99 / 1.00) 
436.	 78.1 	 C0 - 3.5 mA	 C0 - 3.5 mA 	 (0.95 / 1.00) 
437.	 78.1 	 C1 - 4.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
438.	 78.1 	 C3 - 3.0 mA	 C1 - 2.5 mA 	 (0.99 / 1.00) 
439.	 78.1 	 C3 - 5.0 mA	 C2 - 3.5 mA 	 (0.95 / 1.00) 
440.	 78.1 	 C1 - 2.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
441.	 78.0 	 C3 - 3.5 mA	 C0 - 2.5 mA 	 (0.98 / 1.00) 
442.	 78.0 	 C1 - 4.0 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
443.	 78.0 	 C1 - 4.0 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
444.	 78.0 	 C0 - 5.5 mA	 C3 - 1.5 mA 	 (0.89 / 1.00) 
445.	 78.0 	 C1 - 5.5 mA	 C1 - 5.5 mA 	 (0.97 / 1.00) 
446.	 78.0 	 C3 - 5.0 mA	 C2 - 2.0 mA 	 (0.95 / 1.00) 
447.	 78.0 	 C1 - 4.5 mA	 C1 - 2.0 mA 	 (0.99 / 1.00) 
448.	 78.0 	 C1 - 5.5 mA	 C1 - 5.0 mA 	 (0.97 / 1.00) 
449.	 77.9 	 C3 - 2.5 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
450.	 77.9 	 C0 - 3.5 mA	 C1 - 2.5 mA 	 (0.95 / 1.00) 
451.	 77.9 	 C3 - 3.0 mA	 C0 - 3.5 mA 	 (0.99 / 1.00) 
452.	 77.9 	 C1 - 4.0 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
453.	 77.8 	 C3 - 5.5 mA	 C2 - 2.5 mA 	 (0.94 / 1.00) 
454.	 77.8 	 C1 - 5.0 mA	 C1 - 4.5 mA 	 (0.98 / 1.00) 
455.	 77.8 	 C1 - 4.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
456.	 77.8 	 C0 - 5.0 mA	 C3 - 1.5 mA 	 (0.90 / 1.00) 
457.	 77.8 	 C3 - 5.5 mA	 C2 - 3.0 mA 	 (0.94 / 1.00) 
458.	 77.7 	 C1 - 5.0 mA	 C1 - 2.0 mA 	 (0.98 / 1.00) 
459.	 77.7 	 C2 - 3.5 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
460.	 77.7 	 C3 - 4.5 mA	 C0 - 1.5 mA 	 (0.96 / 1.00) 
461.	 77.7 	 C3 - 5.5 mA	 C2 - 5.0 mA 	 (0.94 / 1.00) 
462.	 77.7 	 C1 - 3.5 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
463.	 77.6 	 C3 - 4.0 mA	 C0 - 2.0 mA 	 (0.97 / 1.00) 
464.	 77.6 	 C1 - 3.0 mA	 C1 - 3.0 mA 	 (1.00 / 1.00) 
465.	 77.6 	 C3 - 1.5 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
466.	 77.5 	 C1 - 5.5 mA	 C1 - 4.5 mA 	 (0.97 / 1.00) 
467.	 77.5 	 C3 - 3.0 mA	 C1 - 2.0 mA 	 (0.99 / 1.00) 
468.	 77.5 	 C1 - 2.5 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
469.	 77.5 	 C2 - 4.5 mA	 C3 - 1.5 mA 	 (0.99 / 1.00) 
470.	 77.5 	 C1 - 5.5 mA	 C1 - 2.0 mA 	 (0.97 / 1.00) 
471.	 77.4 	 C3 - 5.5 mA	 C3 - 1.5 mA 	 (0.94 / 1.00) 
472.	 77.4 	 C3 - 4.5 mA	 C2 - 1.5 mA 	 (0.96 / 1.00) 
473.	 77.4 	 C2 - 3.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
474.	 77.4 	 C0 - 3.0 mA	 C0 - 5.5 mA 	 (0.97 / 1.00) 
475.	 77.3 	 C3 - 2.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
476.	 77.3 	 C1 - 4.5 mA	 C0 - 3.0 mA 	 (0.99 / 1.00) 
477.	 77.3 	 C0 - 4.0 mA	 C0 - 1.5 mA 	 (0.93 / 1.00) 
478.	 77.2 	 C1 - 4.0 mA	 C1 - 4.5 mA 	 (1.00 / 1.00) 
479.	 77.2 	 C2 - 5.0 mA	 C3 - 2.0 mA 	 (0.99 / 1.00) 
480.	 77.2 	 C1 - 3.0 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
481.	 77.1 	 C1 - 5.0 mA	 C0 - 3.0 mA 	 (0.98 / 1.00) 
482.	 77.1 	 C1 - 3.5 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
483.	 77.1 	 C3 - 2.5 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
484.	 77.1 	 C0 - 5.5 mA	 C2 - 2.5 mA 	 (0.89 / 1.00) 
485.	 77.1 	 C2 - 4.0 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
486.	 77.0 	 C1 - 4.0 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
487.	 77.0 	 C3 - 3.5 mA	 C1 - 1.5 mA 	 (0.98 / 1.00) 
488.	 77.0 	 C1 - 5.5 mA	 C0 - 3.0 mA 	 (0.97 / 1.00) 
489.	 77.0 	 C1 - 2.0 mA	 C0 - 2.0 mA 	 (1.00 / 1.00) 
490.	 77.0 	 C3 - 3.0 mA	 C1 - 4.0 mA 	 (0.99 / 1.00) 
491.	 76.9 	 C3 - 2.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
492.	 76.9 	 C3 - 4.5 mA	 C2 - 4.5 mA 	 (0.96 / 1.00) 
493.	 76.9 	 C0 - 3.0 mA	 C0 - 5.0 mA 	 (0.97 / 1.00) 
494.	 76.9 	 C1 - 4.5 mA	 C0 - 2.5 mA 	 (0.99 / 1.00) 
495.	 76.8 	 C2 - 3.5 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
496.	 76.8 	 C2 - 3.0 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
497.	 76.8 	 C3 - 5.0 mA	 C2 - 2.5 mA 	 (0.95 / 1.00) 
498.	 76.8 	 C1 - 5.0 mA	 C0 - 2.5 mA 	 (0.98 / 1.00) 
499.	 76.8 	 C3 - 4.0 mA	 C2 - 4.0 mA 	 (0.97 / 1.00) 
500.	 76.7 	 C1 - 1.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
501.	 76.7 	 C3 - 5.0 mA	 C2 - 3.0 mA 	 (0.95 / 1.00) 
502.	 76.7 	 C2 - 4.0 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
503.	 76.7 	 C3 - 5.0 mA	 C2 - 5.0 mA 	 (0.95 / 1.00) 
504.	 76.7 	 C3 - 3.5 mA	 C0 - 2.0 mA 	 (0.98 / 1.00) 
505.	 76.7 	 C3 - 2.0 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
506.	 76.7 	 C3 - 3.0 mA	 C0 - 3.0 mA 	 (0.99 / 1.00) 
507.	 76.7 	 C0 - 5.0 mA	 C2 - 2.5 mA 	 (0.90 / 1.00) 
508.	 76.7 	 C1 - 3.5 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
509.	 76.6 	 C3 - 2.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
510.	 76.6 	 C3 - 5.0 mA	 C3 - 1.5 mA 	 (0.95 / 1.00) 
511.	 76.6 	 C0 - 3.0 mA	 C0 - 4.5 mA 	 (0.97 / 1.00) 
512.	 76.6 	 C1 - 5.5 mA	 C0 - 2.5 mA 	 (0.97 / 1.00) 
513.	 76.6 	 C0 - 5.5 mA	 C2 - 5.0 mA 	 (0.89 / 1.00) 
514.	 76.6 	 C1 - 4.0 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
515.	 76.5 	 C3 - 2.5 mA	 C1 - 2.0 mA 	 (1.00 / 1.00) 
516.	 76.5 	 C1 - 3.0 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
517.	 76.5 	 C1 - 3.5 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
518.	 76.5 	 C1 - 3.5 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
519.	 76.5 	 C2 - 2.0 mA	 C1 - 3.5 mA 	 (1.00 / 1.00) 
520.	 76.5 	 C0 - 3.5 mA	 C1 - 4.0 mA 	 (0.95 / 1.00) 
521.	 76.5 	 C0 - 5.5 mA	 C2 - 3.0 mA 	 (0.89 / 1.00) 
522.	 76.4 	 C0 - 1.5 mA	 C0 - 5.5 mA 	 (0.99 / 1.00) 
523.	 76.4 	 C2 - 4.0 mA	 C2 - 4.5 mA 	 (1.00 / 1.00) 
524.	 76.4 	 C3 - 3.0 mA	 C0 - 2.5 mA 	 (0.99 / 1.00) 
525.	 76.4 	 C0 - 3.0 mA	 C0 - 4.0 mA 	 (0.97 / 1.00) 
526.	 76.4 	 C0 - 3.5 mA	 C1 - 2.0 mA 	 (0.95 / 1.00) 
527.	 76.4 	 C3 - 3.0 mA	 C1 - 5.5 mA 	 (0.99 / 1.00) 
528.	 76.4 	 C1 - 3.5 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
529.	 76.3 	 C1 - 3.0 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
530.	 76.3 	 C3 - 3.0 mA	 C1 - 5.0 mA 	 (0.99 / 1.00) 
531.	 76.3 	 C3 - 4.5 mA	 C2 - 2.0 mA 	 (0.96 / 1.00) 
532.	 76.3 	 C3 - 4.0 mA	 C0 - 1.5 mA 	 (0.97 / 1.00) 
533.	 76.2 	 C3 - 4.5 mA	 C2 - 3.5 mA 	 (0.96 / 1.00) 
534.	 76.2 	 C0 - 5.0 mA	 C2 - 5.0 mA 	 (0.90 / 1.00) 
535.	 76.2 	 C2 - 4.5 mA	 C2 - 5.5 mA 	 (0.99 / 1.00) 
536.	 76.2 	 C1 - 3.0 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
537.	 76.2 	 C0 - 4.0 mA	 C2 - 4.0 mA 	 (0.93 / 1.00) 
538.	 76.1 	 C0 - 3.5 mA	 C0 - 3.0 mA 	 (0.95 / 1.00) 
539.	 76.1 	 C3 - 5.5 mA	 C2 - 5.5 mA 	 (0.94 / 1.00) 
540.	 76.1 	 C1 - 3.0 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
541.	 76.1 	 C1 - 4.0 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
542.	 76.1 	 C2 - 1.5 mA	 C1 - 2.5 mA 	 (1.00 / 1.00) 
543.	 76.0 	 C0 - 1.5 mA	 C0 - 5.0 mA 	 (0.99 / 1.00) 
544.	 76.0 	 C1 - 1.5 mA	 C1 - 5.5 mA 	 (1.00 / 1.00) 
545.	 76.0 	 C0 - 1.5 mA	 C0 - 4.5 mA 	 (0.99 / 1.00) 
546.	 76.0 	 C3 - 2.5 mA	 C0 - 3.0 mA 	 (1.00 / 1.00) 
547.	 75.9 	 C0 - 5.0 mA	 C2 - 3.0 mA 	 (0.90 / 1.00) 
548.	 75.9 	 C1 - 2.0 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
549.	 75.9 	 C1 - 1.5 mA	 C1 - 5.0 mA 	 (1.00 / 1.00) 
550.	 75.8 	 C3 - 3.0 mA	 C1 - 4.5 mA 	 (0.99 / 1.00) 
551.	 75.8 	 C1 - 1.5 mA	 C0 - 2.5 mA 	 (1.00 / 1.00) 
552.	 75.8 	 C2 - 3.0 mA	 C0 - 3.5 mA 	 (1.00 / 1.00) 
553.	 75.8 	 C0 - 1.5 mA	 C0 - 4.0 mA 	 (0.99 / 1.00) 
554.	 75.7 	 C3 - 2.5 mA	 C1 - 4.0 mA 	 (1.00 / 1.00) 
555.	 75.7 	 C0 - 4.5 mA	 C2 - 4.5 mA 	 (0.92 / 1.00) 
